"","participant_id","topic_id","condition","query_text","helpful_compatibility","harmful_compatibility","timestamp"
"1","P01","111","2","chances of pregnancy using zinc supplements",0.11,0.09,1773261688.17534
"2","P01","112","2","natural eczema remedies study",0.06,0.11,1773261959.18171
"3","P01","112","2","""Can evening primrose oil help treat eczema?"" ",0.14,0.16,1773261990.70878
"4","P01","112","2","Can ""evening primrose oil"" help treat ""eczema"" ",0.14,0.16,1773262015.95364
"5","P01","112","2","Can ""evening primrose oil"" help treat ""eczema"" ",0.14,0.16,1773262019.3761
"6","P01","112","2","""evening primrose oil"" help treat ""eczema"" ",0.04,0.2,1773262023.30561
"7","P01","117","2","fermented milk against high blood pressure",0.1,0.07,1773262085.27497
"8","P01","132","2","what to do when having a cold",0,0,1773262185.59611
"9","P01","132","2","how treat a cold",0,0.15,1773262199.8636
"10","P02","111","2","zinc pregnancy benefits",0.09,0.25,1773309328.2782
"11","P02","111","2","zinc pregnancy benefits apothecary",0.09,0.25,1773309373.86871
"12","P02","111","2","zinc pregnancy disadvantages",0.09,0.22,1773309439.89171
"13","P02","111","2","zinc wikipedia",0.02,0,1773309534.8528
"14","P02","112","2","eczema treatment",0.08,0.03,1773309589.28943
"15","P02","112","2","eczema treatment Evening primrose oil ",0.04,0.2,1773309666.97583
"16","P02","112","2","eczema treatment oil ",0.11,0.05,1773309716.19737
"17","P02","112","2","eczema wikipedia",0,0,1773309737.17748
"18","P02","112","2","eczema treatment oil",0.11,0.05,1773309746.17245
"19","P02","112","2","Can evening primrose oil help treat eczema?",0.14,0.16,1773309757.1787
"20","P02","117","2","how to mitigate high blood pressure",0.07,0.1,1773309822.67218
"21","P02","117","2","how to mitigate high blood pressure miklk",0.07,0.1,1773309855.49402
"22","P02","117","2","how to mitigate high blood pressure milk",0.05,0.08,1773309858.67753
"23","P02","117","2","high blood pressure milk",0.05,0.08,1773309868.26933
"24","P02","117","2","American Journal of Hypertension",0.01,0,1773309964.9741
"25","P02","132","2"," inhaling steam cold",0.21,0.18,1773309984.7806
"26","P02","132","2","steam cold treatment",0.05,0.34,1773310039.47048
"27","P03","111","3","Will taking zinc supplements improve pregnancy?",0.07,0.25,1773309679.46255
"28","P03","111","3","Zinc sulfate medical journal",0.27,0.09,1773309727.46094
"29","P03","111","3"," Zinc sulfate multivitamins micronutrients",0.36,0.04,1773309740.67513
"30","P03","111","3"," Zinc sulfate pregnancy cochrane",0.22,0.18,1773309758.37163
"31","P03","111","3"," Zinc sulfate pregnancy systematic review",0.19,0.04,1773309763.49947
"32","P03","111","3","Zinc sulfate fertility pubmed",0.27,0.06,1773309778.45715
"33","P03","111","3","Zinc sulfate fertility nih",0.22,0.06,1773309790.27461
"34","P03","111","3","Zinc sulfate pregnancy risks",0.24,0.18,1773309829.77516
"35","P03","111","3","Zinc sulfate pregnancy pubmed",0.24,0.17,1773309862.17377
"36","P03","111","3","Zinc sulfate pregnancy ",0.22,0.21,1773309971.29002
"37","P03","112","3","Can evening primrose oil help treat eczema?",0.14,0.16,1773310012.95242
"38","P03","112","3","Effects and use of evening primrose",0.11,0.19,1773310023.69
"39","P03","112","3","Evening primrose benefit skin",0.11,0.16,1773310060.47272
"40","P03","112","3","Eczema and evening primrose benefits",0.11,0.16,1773310122.07685
"41","P03","117","3","Can fermented milk help mitigate high blood pressure?",0.1,0.11,1773310153.48621
"42","P03","117","3","Fermented milk heart review",0.23,0,1773310168.08131
"43","P03","117","3","Fermented milk heart study",0.23,0,1773310270.38635
"44","P03","117","3","Fermented milk heart pubmed",0.23,0,1773310274.05806
"45","P03","117","3","Fermented milk heart ",0.23,0,1773310279.56671
"46","P03","117","3","Fermented milk hypertension journal",0.23,0,1773310294.28432
"47","P03","117","3","Fermented milk",0.2,0,1773310300.00467
"48","P03","132","3","steam common cold review",0.03,0.33,1773310457.28906
"49","P03","132","3","steam common cold ",0.03,0.33,1773310512.37536
"50","P03","132","3","Does inhaling steam help treat common cold?",0.06,0.17,1773310520.09228
"51","P04","111","2","does zinc improve pregnancy",0.09,0.15,1774121581.59492
"52","P04","112","2","evening primrose oil against eczema",0.04,0.2,1774121739.20185
"53","P04","117","2","fermented milk to mitigate high blood pressure?",0.1,0.07,1774121863.97516
"54","P04","132","2","inhaling steam against common cold?",0.07,0.21,1774121918.65186
"55","P05","111","3","Will taking zinc supplements improve pregnancy?",0.07,0.25,1773484852.67151
