"","participant_id","condition","topic_id","num_queries","time_total_seconds","time_to_first_click_seconds","final_answer","prior_familiarity","final_helpful_compatibility","final_harmful_compatibility"
"1","P01","2","111",1,277.73,40.62,"yes","1",0.11,0.09
"2","P01","2","112",5,136.08,3.75,"no","1",0.04,0.2
"3","P01","2","117",1,109.05,12.47,"yes","1",0.1,0.07
"4","P01","2","132",2,67.36,3.69,"yes","1",0,0.15
"5","P02","2","111",4,257.34,19.16,"no","1",0.02,0
"6","P02","2","112",6,239.76,NA,"no","1",0.14,0.16
"7","P02","2","117",5,159.88,32.84,"yes","1",0.01,0
"8","P02","2","132",2,81.13,21.51,"yes","3",0.05,0.34
"9","P03","3","111",10,335.53,4.77,"no","1",0.22,0.21
"10","P03","3","112",4,145,5.57,"yes","1",0.11,0.16
"11","P03","3","117",7,296.03,18.7,"yes","1",0.2,0
"12","P03","3","132",3,86.72,9.88,"no","2",0.06,0.17
"13","P04","2","111",1,130.16,45.43,"yes","1",0.09,0.15
"14","P04","2","112",1,110.84,17.06,"yes","1",0.04,0.2
"15","P04","2","117",1,115.16,16.51,"yes","1",0.1,0.07
"16","P04","2","132",1,84.86,31.1,"yes","1",0.07,0.21
"17","P05","3","111",1,129.24,17.34,"yes","1",0.07,0.25
"18","P05","3","112",1,231.35,14.26,"no","2",0.06,0.24
"19","P05","3","117",1,173.81,4.59,"yes","3",0.1,0.11
"20","P05","3","132",1,371.39,62.95,"no","4",0.03,0.27
"21","P06","2","111",1,92.14,4.85,"yes","2",0.09,0.22
"22","P06","2","112",1,77.59,25.02,"yes","2",0.04,0.2
"23","P06","2","117",1,92.81,3.84,"yes","1",0.1,0.11
"24","P06","2","132",1,64.04,23.96,"yes","3",0.06,0.17
"25","P07","1","111",1,124.39,13.83,"yes","1",0.06,0.25
"26","P07","1","112",2,174.19,2.09,"yes","1",0.03,0.2
"27","P07","1","117",1,219.24,26.01,"no","1",0.1,0.11
"28","P07","1","132",1,201.71,5.82,"yes","2",0.06,0.17
"29","P08","1","111",1,62.48,5.07,"yes","2",0.07,0.25
"30","P08","1","112",1,112.3,2.58,"yes","1",0.14,0.16
"31","P08","1","117",1,41.21,6.45,"yes","2",0.1,0.11
"32","P08","1","132",1,49.3,9.63,"yes","4",0.06,0.17
"33","P09","3","111",1,155.46,36.61,"no","1",0.07,0.22
"34","P09","3","112",1,90.69,6.81,"no","1",0.03,0.18
"35","P09","3","117",1,112.68,11.24,"no","1",0.1,0.06
"36","P09","3","132",1,63.28,33.68,"yes","3",0,0.14
"37","P10","2","111",1,157.88,NA,"no","1",0.1,0.25
"38","P10","2","112",2,177.93,6.62,"no","1",0.03,0.2
"39","P10","2","117",1,98.53,NA,"no","1",0.05,0.08
"40","P10","2","132",1,103.26,NA,"no","3",0.14,0.2
"41","P11","3","111",3,206.64,23.39,"no","1",0.27,0.06
"42","P11","3","112",1,75.12,12.5,"yes","1",0.14,0.16
"43","P11","3","117",3,199.77,4.44,"yes","1",0.1,0.11
"44","P11","3","132",1,50.46,23.4,"yes","3",0.06,0.17
"45","P12","2","111",1,366.23,21.14,"yes","2",0.08,0.25
"46","P12","2","112",1,286.48,3.48,"yes","1",0.06,0.22
"47","P12","2","117",1,94.46,3.8,"yes","1",0.1,0.11
"48","P12","2","132",1,75.73,4.59,"yes","4",0.07,0.21
"49","P14","3","111",2,301.79,4.04,"no","1",0.27,0.09
"50","P14","3","112",5,150.45,3.36,"yes","1",0.11,0.16
"51","P14","3","117",4,186.09,4.4,"yes","3",0.23,0
"52","P14","3","132",1,300.89,2.19,"no","3",0.06,0.17
"53","P15","1","111",1,142.94,4.45,"yes","1",0,0.22
"54","P15","1","112",3,122.04,13.16,"yes","1",0.11,0
"55","P15","1","117",1,159.83,2.04,"yes","1",0.19,0
"56","P15","1","132",2,61.97,2.09,"yes","1",0.18,0.17
"57","P16","2","111",5,536.98,29.95,"yes","1",0.09,0.25
"58","P16","2","112",4,219.77,4.63,"yes","1",0.09,0.22
"59","P16","2","117",9,241.43,1.53,"yes","1",0.09,0.05
"60","P16","2","132",2,298.02,6.67,"yes","1",0.18,0.2
"61","P17","1","111",3,494.82,113.58,"yes","1",0,0.15
"62","P17","1","112",1,204.46,28.06,"no","1",0.04,0.2
"63","P17","1","117",1,269.99,31.37,"yes","1",0.21,0
"64","P17","1","132",1,283.62,48.38,"yes","2",0.21,0.18
"65","P20","3","111",2,237.2,46.67,"no","1",0.27,0.09
"66","P20","3","112",4,157.87,1.59,"yes","1",0.06,0.22
"67","P20","3","117",2,165.46,10.31,"yes","1",0.23,0
"68","P20","3","132",2,111.92,6.23,"yes","2",0.07,0.21
